SHIP_ID,IMO,MMSI,CALLSIGN,SHIPNAME,TYPE_COLOR,LAST_POS,TIMEZONE,CODE2,COUNTRY,COUNT_PHOTOS,NEXT_PORT_NAME,NEXT_PORT_COUNTRY,NEXT_PORT_ID,ETA,DESTINATION,CURRENT_PORT_COUNTRY,TYPE_SUMMARY,COURSE,LON,LAT,INLAND_ENI,STATUS_NAME,YOB,DWT,CURRENT_PORT_UNLOCODE,AREA_CODE,ETA_OFFSET,SPEED,DRAUGHT,LENGTH,WIDTH,STATUS,ETA_UPDATED,DISTANCE_TO_GO,AREA_NAME,PORT_ID,CURRENT_PORT,COLLECTION_NAME,CTA_ROUTE_FORECAST
226066,9416240,244180386,PI2687,DEO GRATIAS,7,1688200289,2,NL,Netherlands,93,,,,1680360420.0,,DE,Cargo,291,8.511398,49.43733,02338464,Moored,2008,,,"INLEU - Inland, Europe",,0.0,1.9,110.0,11.4,ACTIVE,,0,"Inland, Europe",22818,RHEINAU,-,false
138275,0,211511630,D5C2,DILSBERG,7,1688200198,2,DE,Germany,125,HOCHST,DE,3934,1688108400.0,HOECHST,DE,Cargo,,8.305397,49.99677,04800800,Stopped,,,DEGIG,"INLEU - Inland, Europe",2,0.0,1.5,135.0,11.5,ACTIVE,2023-07-01 08:06:00,4,"Inland, Europe",5087,GUSTAVSBURG,-,true
330324,8643298,269057329,HE7329,THURGAU CASANOVA,6,1688196615,1,CH,Switzerland,55,STUTTGART,DE,20479,1680898980.0,STUTTGART,,Passenger,183,7.6525,50.25602,04800110,Stopped,2001,,,"INLEU - Inland, Europe",2,5.4,1.5,103.5,9.7,ACTIVE,,0,"Inland, Europe",,,-,false
301692,0,256417000,9HTT8,PRINZESSIN SISI,6,1688200048,2,MT,Malta,131,BUDAPEST,HU,82,,BUDAPEST,AT,Passenger,,16.36465,48.2678,09948009,At Anchor,,,ATVIE,"INLEU - Inland, Europe",,0.0,1.6,109.9,11.4,ACTIVE,2023-07-01 08:19:00,146,"Inland, Europe",5012,WIEN,-,true
1469886,3080192,244620207,PF3362,SPLENDOR,7,1688188174,1,NL,Netherlands,129,OSS,NL,22235,,OSS NLOSS,,Cargo,7,7.670898,48.25329,02331138,Underway using Engine,,,,"INLEU - Inland, Europe",,8.6,2.1,135.0,11.4,ACTIVE,2023-07-01 05:00:00,437,"Inland, Europe",,,-,true
5322275,0,269057628,HE7628,VISTA SUN,6,1688200070,2,CH,Switzerland,143,ARNHEM,NL,1771,-2208988800.0,ARNHEM,NL,Passenger,174,5.913239,51.97483,09948015,Moored,,,NLARN,"INLEU - Inland, Europe",1,0.0,1.6,135.0,11.5,ACTIVE,,0,North Sea,1771,ARNHEM,-,false
5953187,0,244084316,PG3918,ARIEL,7,1688195945,1,NL,Netherlands,41,AKKRUM,NL,1745,1687458300.0,AKKRUM,,Cargo,73,3.541578,50.52481,02317597,Underway using Engine,,,,"INLEU - Inland, Europe",2,4.8,2.5,80.0,10.0,ACTIVE,,0,"Inland, Europe",,,-,false
330439,0,269057466,HE7466,VIKING EISTLA,6,1688200279,2,CH,Switzerland,66,BASEL,CH,2291,1688022000.0,BASEL,CH,Passenger,42,7.585885,47.58054,07001987,Moored,,,CHBSL,"INLEU - Inland, Europe",2,0.0,1.8,122.2,8.2,ACTIVE,,0,"Inland, Europe",2291,BASEL,-,false
5132869,0,248308000,,CRYSTAL BACH,6,1688200212,1,MT,Malta,39,,,,1676484000.0,DODEWARD,,Passenger,,5.637997,51.90262,04812680,Moored,,,,"INLEU - Inland, Europe",,0.0,1.8,135.0,11.5,ACTIVE,,0,North Sea,,,-,false
238186,0,244660926,PD8462,EL TEIDE,7,1688131136,1,NL,Netherlands,112,MILLINGEN,NL,1644,1687455120.0,MILLINGEN AAN DE RI,,Cargo,266,6.06193,48.74469,02328898,Underway using Engine,,,,"INLEU - Inland, Europe",2,6.8,2.0,105.0,11.0,ACTIVE,,0,"Inland, Europe",,,-,false
243553,0,244700893,PD3002,GENDTIA,7,1688200279,1,NL,Netherlands,148,MAASTRICHT,NL,1955,1688213820.0,MAASTRICHT,,Cargo,278,5.59312,50.87782,02102538,Underway using Engine,,,,"INLEU - Inland, Europe",2,6.3,2.5,69.9,7.5,ACTIVE,,0,"Inland, Europe",,,-,false
140217,0,211541290,DC4571,SCHLOSS HEIDELBERG,8,1688200182,1,DE,Germany,78,,,,1687946400.0,BORN,,Tanker,16,5.796138,51.02959,04809220,Moored,,,,"INLEU - Inland, Europe",,0.0,2.0,110.0,11.4,ACTIVE,,0,"Inland, Europe",,,-,false
128732,0,211169330,DA4143,BANDOLINO,7,1688200121,1,DE,Germany,141,ANTWERP,BE,117,-2208988800.0,ANTWERPEN,,Cargo,192,9.379327,49.77634,04502460,Moored,,,,"INLEU - Inland, Europe",1,0.1,2.5,110.0,10.5,ACTIVE,,0,"Inland, Europe",,,-,false
2941040,0,244030549,PE4562,AZOLLA,7,1688200291,1,NL,Netherlands,159,ROTTERDAM WAALHAVEN,NL,2039,-2208988800.0,,,Cargo,48,6.727252,51.38117,02329306,Underway using Engine,,,,"INLEU - Inland, Europe",1,9.8,0.2,135.0,17.1,ACTIVE,,0,"Inland, Europe",,,-,false
7639506,9865087,211893100,DMBN,LUMINANCE,9,1688200224,2,DE,Germany,13,,,,-2208988800.0,SEA TRIALS,DE,Pleasure Craft,332,8.591158,53.17336,0,Moored,2023,850,DEBLM,"INLEU - Inland, Europe",,0.0,5.2,139.0,21.0,ACTIVE,,0,North Sea,4496,BLUMENTHAL,-,false
1609104,9654622,244750840,PA5090,ST MAARTEN,8,1688200299,1,NL,Netherlands,107,,,,,FRLAUVN341BUAA103518,,Tanker,190,8.384129,49.196,02335482,Underway using Engine,2013,1600,,"INLEU - Inland, Europe",,4.7,1.8,85.0,9.6,ACTIVE,,0,"Inland, Europe",,,-,false
411833,9045687,353218000,HPJN,ESRA NUR,7,1688198887,3,PA,Panama,33,RENI,UA,17216,1686700800.0,RENI,UA,Cargo,324,28.282,45.44589,,At Anchor,1999,7290,UARNI,"INLEU - Inland, Europe",3,0.0,6.8,113.1,16.4,ACTIVE,,0,"Inland, Europe",17216,RENI,-,false
237581,0,244660319,PG4074,DEO JUVANTE,7,1688200142,2,NL,Netherlands,113,ANTWERP,BE,117,,BEANR99999TERMC00132,DE,Cargo,134,6.979482,50.97556,02330445,Moored,,,DENHL,"INLEU - Inland, Europe",,0.0,1.6,135.0,11.4,ACTIVE,2023-07-01 08:13:00,190,"Inland, Europe",4195,NIEHL,-,true
220719,0,244020449,PG5482,IJSSELDIEP,7,1688199885,2,NL,Netherlands,98,RAAMSDONKSVEER,NL,2019,1688130480.0,RAAMSDONKSVEER,NL,Cargo,329,4.862442,51.70774,02318245,Moored,1993,,NLGTB,"INLEU - Inland, Europe",2,0.0,5.2,110.0,11.4,ACTIVE,2023-07-01 08:03:00,0,North Sea,1847,GEERTRUIDENBERG,-,false
237711,0,244660449,PD5035,SOUTHFORD,7,1688200330,1,NL,Netherlands,148,ANTWERP,BE,117,1688197320.0,ANTWERP,,Cargo,286,6.196232,51.83014,02329377,Underway using Engine,,,,"INLEU - Inland, Europe",2,9.8,1.9,135.0,17.5,ACTIVE,2023-07-01 07:59:00,99,"Inland, Europe",,,-,true
235768,0,244650324,PB3237,NORTH CAROLINA,8,1688193693,1,NL,Netherlands,86,VLISSINGEN,NL,2407,1688234820.0,VLISSINGEN VAN CITTE,,Tanker,279,5.104823,51.09875,02332196,Underway using Engine,,,,"INLEU - Inland, Europe",2,5.0,1.0,125.0,11.4,ACTIVE,2023-07-01 06:58:00,69,"Inland, Europe",,,-,true
231993,0,253242440,LX2440,SIROCCO,8,1688174841,2,LU,Luxembourg,64,KREFELD,DE,1605,1687989540.0,KREFELD,DE,Tanker,,6.678288,51.33766,02335784,Moored,,,DEKRE,"INLEU - Inland, Europe",2,0.0,2.4,110.0,11.4,ACTIVE,,0,"Inland, Europe",1605,KREFELD,-,false
141528,9600396,211576840,DH7345,CHARISMA,8,1686921141,1,DE,Germany,93,DUISBURG,DE,1505,,DUISBURG,,Tanker,198,7.312558,52.9081,04809940,Underway using Engine,2012,1499,,"INLEU - Inland, Europe",,3.2,15.3,86.0,9.5,ACTIVE,,0,North Sea,,,-,false
